loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
13;graph500_reference_bfs_sssp;get_edge_count_for_teps;11;bfs_reference.c:134-136;Innermost;8.9348211288452;14.024996757507;;;;;;8.9348211288452;14.024996757507;;;;;;;;
20;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:107-109;InBetween;9.2469835281372;14.514998435974;;;;;;5.4819350242615;8.604998588562;;;;;;;;
41;graph500_reference_bfs_sssp;validate_result;41;validate.c:114-119,validate.c:285-285;Innermost;3.9561676979065;6.210000038147;;;;;;3.9561676979065;6.210000038147;;;;;;;;
21;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:107-108;Innermost;3.76504778862;5.9099988937378;;;;;;3.76504778862;5.9099988937378;;;;;;;;
18;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:122-124;Innermost;2.9942007064819;4.6999998092651;;;;;;2.9942007064819;4.6999998092651;;;;;;;;
11;graph500_reference_bfs_sssp;run_bfs;10;bfs_reference.c:62-63,bfs_reference.c:107-108;Innermost;2.7361896038055;4.2949991226196;;;;;;2.7361896038055;4.2949991226196;;;;;;;;
16;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:134-138;Innermost;1.4142820835114;2.2199997901917;;;;;;1.4142820835114;2.2199997901917;;;;;;;;
17;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:120-122;InBetween;4.2460312843323;6.6649990081787;;;;;;1.2518306970596;1.96499979496;;;;;;;;
36;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:66-68,validate.c:171-172;Innermost;1.2518305778503;1.9649995565414;;;;;;1.2518305778503;1.9649995565414;;;;;;;;
19;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:106-107;InBetween;10.275841712952;16.129997253418;;;;;;1.0288583040237;1.6149998903275;;;;;;;;
73;graph500_reference_bfs_sssp;generate_kronecker_range;51;graph_generator.c:50-51,graph_generator.c:62-68,graph_generator.c:146-153,graph_generator.c:159-162;Innermost;1.0224875211716;1.6049995422363;;;;;;1.0224875211716;1.6049995422363;;;;;;;;
10;graph500_reference_bfs_sssp;run_bfs;10;bfs_reference.c:63-63,bfs_reference.c:106-107;InBetween;3.5070369243622;5.5049991607666;;;;;;0.77084738016129;1.2099997997284;;;;;;;;
12;graph500_reference_bfs_sssp;get_edge_count_for_teps;11;bfs_reference.c:132-134;Outermost;9.568699836731;15.019997596741;;;;;;0.6338786482811;0.99499988555908;;;;;;;;
42;graph500_reference_bfs_sssp;validate_result;41;validate.c:267-271;Single;0.34401452541351;0.53999990224838;;;;;;0.34401452541351;0.53999990224838;;;;;;;;
35;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:169-171;InBetween;1.554435968399;2.4399995803833;;;;;;0.30260536074638;0.47499990463257;;;;;;;;
40;graph500_reference_bfs_sssp;validate_result;41;validate.c:287-291;Single;0.28986406326294;0.45499989390373;;;;;;0.28986406326294;0.45499989390373;;;;;;;;
39;graph500_reference_bfs_sssp;validate_result;41;validate.c:114-114,validate.c:284-285;Outermost;4.185510635376;6.5700001716614;;;;;;0.22934301197529;0.35999992489815;;;;;;;;
25;graph500_reference_bfs_sssp;convert_graph_to_oned_csr;24;graph_generator.h:36-40,csr_reference.c:58-63,csr_reference.c:164-170;Innermost;0.21023106575012;0.32999992370605;;;;;;0.21023106575012;0.32999992370605;;;;;;;;
72;graph500_reference_bfs_sssp;generate_kronecker_range;51;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-138,graph_generator.c:145-146,graph_generator.c:207-209,graph_generator.c:212-212,graph_generator.h:44-46;Outermost;1.1594562530518;1.8199995756149;;;;;;0.13696874678135;0.21499997377396;;;;;;;;
43;graph500_reference_bfs_sssp;validate_result;41;validate.c:258-260;Single;0.070077039301395;0.10999999940395;;;;;;0.070077039301395;0.10999999940395;;;;;;;;
38;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:152-155;Single;0.028667876496911;0.044999990612268;;;;;;0.028667876496911;0.044999990612268;;;;;;;;
76;graph500_reference_bfs_sssp;mrg_skip;58;splittable_mrg.c:165-165,splittable_mrg.c:193-195;Single;0.022297237068415;0.034999992698431;;;;;;0.022297237068415;0.034999992698431;;;;;;;;
14;graph500_reference_bfs_sssp;clean_pred;12;bfs_reference.c:146-146;Single;0.022297237068415;0.034999992698431;;;;;;0.022297237068415;0.034999992698431;;;;;;;;
29;graph500_reference_bfs_sssp;convert_graph_to_oned_csr;24;graph_generator.h:36-40,csr_reference.c:51-54,csr_reference.c:90-93;Innermost;0.0095559591427445;0.014999997802079;;;;;;0.0095559591427445;0.014999997802079;;;;;;;;
22;graph500_reference_bfs_sssp;clean_shortest;18;sssp_reference.c:154-154;Single;0.0031853197142482;0.00499999942258;;;;;;0.0031853197142482;0.00499999942258;;;;;;;;
