ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 13;graph500_reference_bfs_sssp;bfs_reference.c:134-136;get_edge_count_for_teps;Innermost;14.024996757507;14.024996757507;8.9348211288452;1.00;1.00;7.56;2.27;2;0.00;11.53;2.83;2.83;2.83;0.38;1.25
Loop 20;graph500_reference_bfs_sssp;sssp_reference.c:66-67,sssp_reference.c:107-109;run_sssp;InBetween;8.604998588562;8.604998588562;5.4819350242615;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
Loop 41;graph500_reference_bfs_sssp;validate.c:114-119,validate.c:285-285;validate_result;Innermost;6.210000038147;6.210000038147;3.9561676979065;2.57;1.00;6.13;6.00;1;0.00;7.14;6.00;2.33;6.00;0.98;1.00
Loop 21;graph500_reference_bfs_sssp;sssp_reference.c:107-108;run_sssp;Innermost;5.909999370575;5.9099988937378;3.76504778862;1.17;1.00;16.00;1.17;1;0.00;6.25;1.17;1.00;1.17;0.07;1.00
Loop 18;graph500_reference_bfs_sssp;sssp_reference.c:66-67,sssp_reference.c:122-124;run_sssp;Innermost;4.699999332428;4.6999998092651;2.9942007064819;2.20;1.65;7.49;3.67;2;0.00;7.19;3.67;1.67;2.22;0.49;1.00
Loop 11;graph500_reference_bfs_sssp;bfs_reference.c:62-63,bfs_reference.c:107-108;run_bfs;Innermost;4.2949995994568;4.2949991226196;2.7361896038055;3.57;1.00;8.00;4.17;1;0.00;10.71;4.17;1.17;4.17;0.52;1.00
Loop 16;graph500_reference_bfs_sssp;sssp_reference.c:134-138;run_sssp;Innermost;2.2199997901917;2.2199997901917;1.4142820835114;1.46;1.00;15.00;1.46;3;0.00;7.12;1.94;1.33;1.94;0.13;1.33
Loop 17;graph500_reference_bfs_sssp;sssp_reference.c:120-122;run_sssp;InBetween;1.9649996757507;1.96499979496;1.2518306970596;1.67;1.00;8.33;1.67;6;0.00;7.64;4.17;2.50;4.17;0.50;2.50
Loop 36;graph500_reference_bfs_sssp;validate.c:66-68,validate.c:171-172;makedepthmapforbfs;Innermost;1.9649996757507;1.9649995565414;1.2518305778503;3.67;1.00;8.38;3.67;1;0.00;7.95;3.67;1.00;3.67;0.44;1.00
Loop 19;graph500_reference_bfs_sssp;sssp_reference.c:106-107;run_sssp;InBetween;1.6149997711182;1.6149998903275;1.0288583040237;1.00;1.00;13.45;2.06;3;0.00;7.81;2.06;2.06;2.06;0.15;1.00
Loop 73;graph500_reference_bfs_sssp;graph_generator.c:50-51,graph_generator.c:62-68,graph_generator.c:146-153,graph_generator.c:159-162;generate_kronecker_range;Innermost;1.6049997806549;1.6049995422363;1.0224875211716;1.00;1.00;12.94;1.81;4;0.00;9.05;4.75;4.75;4.75;0.37;2.63
Loop 10;graph500_reference_bfs_sssp;bfs_reference.c:63-63,bfs_reference.c:106-107;run_bfs;InBetween;1.2099999189377;1.2099997997284;0.77084738016129;1.00;1.00;12.57;1.83;2;0.00;8.07;1.83;1.83;1.83;0.15;1.00
Loop 12;graph500_reference_bfs_sssp;bfs_reference.c:132-134;get_edge_count_for_teps;Outermost;0.99499988555908;0.99499988555908;0.6338786482811;1.00;1.00;5.38;1.30;4;0.00;11.46;1.79;1.79;1.79;0.33;1.38
Loop 42;graph500_reference_bfs_sssp;validate.c:267-271;validate_result;Single;0.53999990224838;0.53999990224838;0.34401452541351;1.81;1.00;11.56;1.81;18;6.45;9.68;10.83;6.00;10.83;0.94;6.00
Loop 35;graph500_reference_bfs_sssp;validate.c:169-171;makedepthmapforbfs;InBetween;0.47499990463257;0.47499990463257;0.30260536074638;1.37;1.00;6.47;1.41;4;0.00;6.64;2.29;1.67;2.29;0.35;1.63
Loop 40;graph500_reference_bfs_sssp;validate.c:287-291;validate_result;Single;0.45499989390373;0.45499989390373;0.28986406326294;1.73;1.00;8.57;1.88;3;2.38;9.28;2.50;1.44;2.50;0.29;1.33
Loop 39;graph500_reference_bfs_sssp;validate.c:114-114,validate.c:284-285;validate_result;Outermost;0.35999992489815;0.35999992489815;0.22934301197529;1.00;1.00;6.49;2.50;2;0.00;10.59;2.50;2.50;2.50;0.39;1.00
Loop 25;graph500_reference_bfs_sssp;graph_generator.h:36-40,csr_reference.c:58-63,csr_reference.c:164-170;convert_graph_to_oned_csr;Innermost;0.32999989390373;0.32999992370605;0.21023106575012;2.41;1.00;12.58;5.13;2;0.00;8.84;5.13;2.13;5.13;0.41;1.00
Loop 72;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-138,graph_generator.c:145-146,graph_generator.c:207-209,graph_generator.c:212-212,graph_generator.h:44-46;generate_kronecker_range;Outermost;0.2149999588728;0.21499997377396;0.13696874678135;4.53;1.00;7.89;6.04;4;31.27;14.28;9.06;2.00;9.06;1.15;1.50
Loop 43;graph500_reference_bfs_sssp;validate.c:258-260;validate_result;Single;0.10999999195337;0.10999999940395;0.070077039301395;1.00;1.00;9.17;1.96;3;0.00;10.91;2.61;2.61;2.61;0.28;1.33
Loop 38;graph500_reference_bfs_sssp;validate.c:152-155;makedepthmapforbfs;Single;0.044999990612268;0.044999990612268;0.028667876496911;1.11;1.00;1.00;3.33;1;100.00;100.00;3.33;3.00;3.33;3.33;1.00
Loop 76;graph500_reference_bfs_sssp;splittable_mrg.c:165-165,splittable_mrg.c:193-195;mrg_skip;Single;0.034999992698431;0.034999992698431;0.022297237068415;1.00;1.00;8.00;1.58;2;0.00;12.50;1.58;1.58;1.58;0.20;1.00
Loop 14;graph500_reference_bfs_sssp;bfs_reference.c:146-146;clean_pred;Single;0.034999992698431;0.034999992698431;0.022297237068415;1.00;1.00;9.60;1.00;1;0.00;6.25;1.00;1.00;1.00;0.10;1.00
Loop 29;graph500_reference_bfs_sssp;graph_generator.h:36-40,csr_reference.c:51-54,csr_reference.c:90-93;convert_graph_to_oned_csr;Innermost;0.014999997802079;0.014999997802079;0.0095559591427445;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Loop 22;graph500_reference_bfs_sssp;sssp_reference.c:154-154;clean_shortest;Single;0.0049999989569187;0.00499999942258;0.0031853197142482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
