loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
13;graph500_reference_bfs_sssp;get_edge_count_for_teps;11;bfs_reference.c:134-136;Innermost;12.356307029724;0.21500000357628;;;;;;12.356307029724;0.21500000357628;;;;;;;;
20;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:107-109;InBetween;8.3333234786987;0.14499999582767;;;;;;6.3218307495117;0.10999999195337;;;;;;;;
41;graph500_reference_bfs_sssp;validate_result;41;validate.c:114-119,validate.c:285-285;Innermost;5.7471199035645;0.1000000089407;;;;;;5.7471199035645;0.1000000089407;;;;;;;;
18;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:66-67,sssp_reference.c:122-124;Innermost;2.8735599517822;0.050000004470348;;;;;;2.8735599517822;0.050000004470348;;;;;;;;
17;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:120-122;InBetween;5.4597640037537;0.094999998807907;;;;;;2.5862040519714;0.045000001788139;;;;;;;;
11;graph500_reference_bfs_sssp;run_bfs;10;bfs_reference.c:62-63,bfs_reference.c:107-108;Innermost;2.5862040519714;0.045000001788139;;;;;;2.5862040519714;0.045000001788139;;;;;;;;
16;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:134-138;Innermost;2.2988476753235;0.03999999538064;;;;;;2.2988476753235;0.03999999538064;;;;;;;;
21;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:107-108;Innermost;2.0114917755127;0.034999996423721;;;;;;2.0114917755127;0.034999996423721;;;;;;;;
36;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:66-68,validate.c:171-172;Innermost;1.7241358757019;0.029999999329448;;;;;;1.7241358757019;0.029999999329448;;;;;;;;
12;graph500_reference_bfs_sssp;get_edge_count_for_teps;11;bfs_reference.c:132-134;Outermost;14.080442428589;0.24499998986721;;;;;;1.7241358757019;0.029999999329448;;;;;;;;
19;graph500_reference_bfs_sssp;run_sssp;17;sssp_reference.c:106-107;InBetween;8.6206789016724;0.1499999910593;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
42;graph500_reference_bfs_sssp;validate_result;41;validate.c:267-271;Single;0.28735595941544;0.00499999942258;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
73;graph500_reference_bfs_sssp;generate_kronecker_range;51;graph_generator.c:50-51,graph_generator.c:62-68,graph_generator.c:146-153,graph_generator.c:159-162;Innermost;0.28735595941544;0.00499999942258;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
35;graph500_reference_bfs_sssp;makedepthmapforbfs;40;validate.c:169-171;InBetween;2.0114917755127;0.034999996423721;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
72;graph500_reference_bfs_sssp;generate_kronecker_range;51;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-138,graph_generator.c:145-146,graph_generator.c:207-209,graph_generator.c:212-212,graph_generator.h:44-46;Outermost;0.57471191883087;0.00999999884516;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
39;graph500_reference_bfs_sssp;validate_result;41;validate.c:114-114,validate.c:284-285;Outermost;6.0344753265381;0.10499998927116;;;;;;0.28735595941544;0.00499999942258;;;;;;;;
