ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 13;graph500_reference_bfs_sssp;bfs_reference.c:134-136;get_edge_count_for_teps;Innermost;0.21500000357628;0.21500000357628;12.356307029724;1.00;1.00;7.56;2.27;2;0.00;11.53;2.83;2.83;2.83;0.38;1.25
Loop 20;graph500_reference_bfs_sssp;sssp_reference.c:66-67,sssp_reference.c:107-109;run_sssp;InBetween;0.10999998450279;0.10999999195337;6.3218307495117;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
Loop 41;graph500_reference_bfs_sssp;validate.c:114-119,validate.c:285-285;validate_result;Innermost;0.099999994039536;0.1000000089407;5.7471199035645;2.57;1.00;6.13;6.00;1;0.00;7.14;6.00;2.33;6.00;0.98;1.00
Loop 18;graph500_reference_bfs_sssp;sssp_reference.c:66-67,sssp_reference.c:122-124;run_sssp;Innermost;0.049999997019768;0.050000004470348;2.8735599517822;2.20;1.65;7.49;3.67;2;0.00;7.19;3.67;1.67;2.22;0.49;1.00
Loop 17;graph500_reference_bfs_sssp;sssp_reference.c:120-122;run_sssp;InBetween;0.044999998062849;0.045000001788139;2.5862040519714;1.67;1.00;8.33;1.67;6;0.00;7.64;4.17;2.50;4.17;0.50;2.50
Loop 11;graph500_reference_bfs_sssp;bfs_reference.c:62-63,bfs_reference.c:107-108;run_bfs;Innermost;0.044999998062849;0.045000001788139;2.5862040519714;3.57;1.00;8.00;4.17;1;0.00;10.71;4.17;1.17;4.17;0.52;1.00
Loop 16;graph500_reference_bfs_sssp;sssp_reference.c:134-138;run_sssp;Innermost;0.040000002831221;0.03999999538064;2.2988476753235;1.46;1.00;15.00;1.46;3;0.00;7.12;1.94;1.33;1.94;0.13;1.33
Loop 21;graph500_reference_bfs_sssp;sssp_reference.c:107-108;run_sssp;Innermost;0.035000000149012;0.034999996423721;2.0114917755127;1.17;1.00;16.00;1.17;1;0.00;6.25;1.17;1.00;1.17;0.07;1.00
Loop 36;graph500_reference_bfs_sssp;validate.c:66-68,validate.c:171-172;makedepthmapforbfs;Innermost;0.029999999329448;0.029999999329448;1.7241358757019;3.67;1.00;8.38;3.67;1;0.00;7.95;3.67;1.00;3.67;0.44;1.00
Loop 12;graph500_reference_bfs_sssp;bfs_reference.c:132-134;get_edge_count_for_teps;Outermost;0.029999999329448;0.029999999329448;1.7241358757019;1.00;1.00;5.38;1.30;4;0.00;11.46;1.79;1.79;1.79;0.33;1.38
Loop 19;graph500_reference_bfs_sssp;sssp_reference.c:106-107;run_sssp;InBetween;0.0050000003539026;0.00499999942258;0.28735595941544;1.00;1.00;13.45;2.06;3;0.00;7.81;2.06;2.06;2.06;0.15;1.00
Loop 42;graph500_reference_bfs_sssp;validate.c:267-271;validate_result;Single;0.0050000003539026;0.00499999942258;0.28735595941544;1.81;1.00;11.56;1.81;18;6.45;9.68;10.83;6.00;10.83;0.94;6.00
Loop 73;graph500_reference_bfs_sssp;graph_generator.c:50-51,graph_generator.c:62-68,graph_generator.c:146-153,graph_generator.c:159-162;generate_kronecker_range;Innermost;0.0050000003539026;0.00499999942258;0.28735595941544;1.00;1.00;12.94;1.81;4;0.00;9.05;4.75;4.75;4.75;0.37;2.63
Loop 35;graph500_reference_bfs_sssp;validate.c:169-171;makedepthmapforbfs;InBetween;0.0050000003539026;0.00499999942258;0.28735595941544;1.37;1.00;6.47;1.41;4;0.00;6.64;2.29;1.67;2.29;0.35;1.63
Loop 72;graph500_reference_bfs_sssp;graph_generator.c:92-92,graph_generator.c:98-100,graph_generator.c:132-138,graph_generator.c:145-146,graph_generator.c:207-209,graph_generator.c:212-212,graph_generator.h:44-46;generate_kronecker_range;Outermost;0.0050000003539026;0.00499999942258;0.28735595941544;4.53;1.00;7.89;6.04;4;31.27;14.28;9.06;2.00;9.06;1.15;1.50
Loop 39;graph500_reference_bfs_sssp;validate.c:114-114,validate.c:284-285;validate_result;Outermost;0.0050000003539026;0.00499999942258;0.28735595941544;1.00;1.00;6.49;2.50;2;0.00;10.59;2.50;2.50;2.50;0.39;1.00
